duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
2.000000,-0.000000,0.000000,-0.000000,0.555179,-0.258984,0.013213,0.003125,0.000621,0.000000,-0.000000,-0.000000,-0.198745,0.129805,-0.010148,-0.001903,-0.000315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.000000,0.309927,-0.660171,-0.140402,0.234530,-0.023979,-0.009117,-0.003681,0.000000,0.450240,0.442253,-0.047396,-0.174198,0.025542,0.007854,0.002812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.707107,-0.693864,-0.128037,0.246765,-0.150942,0.010127,0.006024,0.002821,0.707107,0.690284,-0.312841,-0.233270,0.169740,-0.012299,-0.006054,-0.002667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.000000,-0.706886,-0.042522,-0.036513,0.088795,-0.004116,-0.003862,-0.002002,1.000000,-0.072735,-0.264016,0.108275,-0.075913,0.006311,0.003577,0.001608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.707107,-0.604057,0.239577,0.130201,-0.059778,-0.001707,0.001709,0.001162,0.707107,-0.515322,-0.244136,-0.004445,0.065580,-0.004817,-0.002731,-0.001235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-1.000000,0.036439,0.304473,-0.051138,-0.002015,0.004918,0.000366,-0.000151,-0.000000,-0.803728,0.020933,0.111850,-0.042706,0.003625,0.002011,0.000908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.707107,0.509648,0.190489,-0.007953,0.022806,-0.005725,-0.001606,-0.000552,-0.707107,-0.560587,0.185736,0.049284,0.037371,-0.002427,-0.001542,-0.000730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.000000,0.915866,0.210535,-0.025421,-0.049233,-0.693879,0.039014,0.310224,-1.000000,0.081730,0.495097,0.118127,-0.023426,-0.664649,0.011455,0.274559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
