duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
2.000000,0.000000,0.000000,-0.000000,1.071408,-0.591269,0.035818,0.008276,0.001666,-0.000000,-0.000000,0.000000,0.266405,-0.053255,-0.008957,-0.000274,0.000195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.000000,-0.863062,-1.790977,0.030945,0.729882,-0.063410,-0.029793,-0.013586,1.000000,0.811014,-0.330813,-0.452445,-0.104620,0.058704,0.013981,0.004178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-1.000000,-2.023559,1.314857,1.245015,-0.509561,-0.033909,0.003025,0.004132,1.000000,-1.219772,-1.431366,0.141979,0.544858,-0.016995,-0.012458,-0.006247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-1.000000,2.180486,1.785597,-0.927192,-0.489103,-1.532808,0.230787,0.752232,-1.000000,-1.680583,1.775720,1.683666,0.054374,-2.813578,-0.065735,1.046135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
