duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
2.000000,-0.000000,0.000000,-0.000000,0.246755,-0.043784,-0.007581,-0.000554,0.000036,-0.000000,0.000000,-0.000000,-1.297632,0.746591,-0.048713,-0.011176,-0.002268,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.000000,0.863054,-0.285835,-0.475492,-0.142883,0.030010,0.008294,0.002853,-1.000000,1.260373,2.028929,-0.331734,-1.046172,0.048173,0.027460,0.012971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,1.000000,-1.486842,-2.085191,-0.481195,0.231427,3.347429,-0.117351,-1.408276,1.000000,0.634762,-4.077286,-3.031509,0.060577,7.258745,0.004670,-2.849960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
