duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
2.000000,0.000000,-0.000000,0.000000,-0.143304,0.045124,-0.001094,-0.000424,-0.000105,-0.000000,0.000000,-0.000000,0.143304,-0.045124,0.001094,0.000424,0.000105,0.000000,-0.000000,-0.000000,0.022903,0.012767,-0.003350,-0.000409,-0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.500000,-0.491532,-0.036506,0.047446,-0.020573,0.000155,0.000636,0.000374,0.500000,0.491532,0.036506,-0.047446,0.020573,-0.000155,-0.000636,-0.000374,0.250000,0.322419,0.055996,-0.092476,-0.054319,0.013418,0.003705,0.001257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-1.000000,-0.497289,0.001336,-0.007492,0.002823,0.000911,-0.000132,-0.000156,1.000000,0.497289,-0.001336,0.007492,-0.002823,-0.000911,0.000132,0.000156,0.500000,0.037827,-0.331188,-0.057465,0.112354,-0.005869,-0.003779,-0.001881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-1.500000,-0.503134,-0.000354,0.004807,-0.000061,-0.001338,-0.000025,0.000106,1.500000,0.503134,0.000354,-0.004807,0.000061,0.001338,0.000025,-0.000106,0.250000,-0.412710,0.015671,0.191852,-0.039507,-0.005514,-0.000107,0.000315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.000000,-0.495767,0.002163,-0.005621,-0.003429,0.002374,0.000304,-0.000024,2.000000,0.495767,-0.002163,0.005621,0.003429,-0.002374,-0.000304,0.000024,0.000000,0.010156,0.304064,-0.012419,-0.057649,0.003390,0.001656,0.000801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-2.500000,-0.508494,-0.007480,0.009638,0.012154,-0.004397,-0.001102,-0.000319,2.500000,0.508494,0.007480,-0.009638,-0.012154,0.004397,0.001102,0.000319,0.250000,0.382930,-0.003511,-0.147937,0.012197,0.005093,0.000989,0.000239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-3.000000,-0.476753,0.027160,-0.018922,-0.037530,0.003811,0.001572,0.000662,3.000000,0.476753,-0.027160,0.018922,0.037530,-0.003811,-0.001572,-0.000662,0.500000,0.013959,-0.303352,-0.020070,0.060865,-0.000068,-0.000832,-0.000502,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-3.500000,-0.596197,-0.179191,-0.076315,0.028283,0.607910,-0.022269,-0.262220,3.500000,0.596197,0.179191,0.076315,-0.028283,-0.607910,0.022269,0.262220,0.250000,-0.418341,-0.022078,0.188489,0.030462,0.023574,-0.022054,-0.030052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
