duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
2.000000,-0.000000,0.000000,-0.000000,0.277590,-0.129492,0.006607,0.001562,0.000311,0.000000,-0.000000,-0.000000,-0.099373,0.064903,-0.005074,-0.000952,-0.000158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.500000,0.154963,-0.330086,-0.070201,0.117265,-0.011990,-0.004558,-0.001840,0.000000,0.225120,0.221126,-0.023698,-0.087099,0.012771,0.003927,0.001406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.353553,-0.346932,-0.064019,0.123382,-0.075471,0.005063,0.003012,0.001411,0.353553,0.345142,-0.156421,-0.116635,0.084870,-0.006149,-0.003027,-0.001334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.000000,-0.353443,-0.021261,-0.018257,0.044397,-0.002058,-0.001931,-0.001001,0.500000,-0.036367,-0.132008,0.054137,-0.037956,0.003155,0.001789,0.000804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.353553,-0.302028,0.119788,0.065101,-0.029889,-0.000854,0.000855,0.000581,0.353553,-0.257661,-0.122068,-0.002223,0.032790,-0.002408,-0.001365,-0.000618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.500000,0.018219,0.152237,-0.025569,-0.001007,0.002459,0.000183,-0.000075,-0.000000,-0.401864,0.010466,0.055925,-0.021353,0.001812,0.001006,0.000454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.353553,0.254824,0.095244,-0.003976,0.011403,-0.002862,-0.000803,-0.000276,-0.353553,-0.280293,0.092868,0.024642,0.018685,-0.001213,-0.000771,-0.000365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.000000,0.457933,0.105267,-0.012710,-0.024616,-0.346939,0.019507,0.155112,-0.500000,0.040865,0.247549,0.059063,-0.011713,-0.332324,0.005728,0.137280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
