id,x[m],y[m],z[m],t[s]
4,0,-1,1.5,0
5,0,-1,2.5,0
6,0,1,1.5,0
7,0,1,2.5,0
4,0,-1.5,2,5
5,0,0,3,5
6,0,0,1,5
7,0,1.5,2,5
4,0,-1,2.5,10
5,0,1,2.5,10
6,0,-1,1.5,10
7,0,1,1.5,10
