id,x[m],y[m],z[m],t[s]
1,1,0,1.5,1
1,0.5,0,1.5,4
1,1,0,1.5,7
1,1,0,1.5,10
20,0.5,-1,1.5,1
20,0.5,-1,1.5,4
20,0.5,-0.5,1.5,7
20,0.5,-1,1.5,10
12,-0.5,-1,1.5,1
12,-0.5,-0.5,1.5,4
12,-0.5,-1,1.5,7
12,-0.5,-1,1.5,10
22,-1,0,1.5,1
22,-1,0,1.5,4
22,-0.5,0,1.5,7
22,-1,0,1.5,10
10,-0.5,1,1.5,1
10,-0.5,0.5,1.5,4
10,-0.5,1,1.5,7
10,-0.5,1,1.5,10
8,0.5,1,1.5,1
8,0.5,1,1.5,4
8,0.5,0.5,1.5,7
8,0.5,1,1.5,10
